swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
AAISALTRXXX,AAISALTR,UNITED BANK OF ALBANIA SH.A,"HYRJA 3 RR. DRITAN HOXHA ND. 11 TIRANA, TIRANA, 1023",TIRANA,AL,ALBANIA,1
ABIEBGS1XXX,ABIEBGS1,ABV INVESTMENTS LTD,"TSAR ASEN 20  VARNA, VARNA, 9002",VARNA,BG,BULGARIA,1
ADCRBGS1XXX,ADCRBGS1,ADAMANT CAPITAL PARTNERS AD,"JAMES BOURCHIER BLVD 76A HILL TOWER SOFIA, SOFIA, 1421",SOFIA,BG,BULGARIA,1
AFAAUYM1XXX,AFAAUYM1,AFINIDAD A.F.A.P.S.A.,"PLAZA INDEPENDENCIA 743  MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,UY,URUGUAY,1
AGRIMCM1XXX,AGRIMCM1,CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO),"23 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
AIPOPLP1XXX,AIPOPLP1,SANTANDER CONSUMER BANK SPOLKA AKCYJNA,"STRZEGOMSKA 42C  WROCLAW, DOLNOSLASKIE, 53-611",WROCLAW,PL,POLAND,1
AIZKLV22XXX,AIZKLV22,"ABLV BANK, AS IN LIQUIDATION","MIHAILA TALA STREET 1  RIGA, RIGA, LV-1045",RIGA,LV,LATVIA,1
AKBKMTMTXXX,AKBKMTMT,AKBANK T.A.S. (MALTA BRANCH),"FLOOR 6, PORTOMASO BUSINESS TOWER 01 PORTOMASO PTM - ST. JULIAN'S ST. JULIAN'S, STJ 4011",ST. JULIAN'S,MT,MALTA,1
ALBPPLP1BMW,ALBPPLP1,ALIOR BANK SPOLKA AKCYJNA,"  WARSZAWA, MAZOWIECKIE",WARSZAWA,PL,POLAND,
ALBPPLPWXXX,ALBPPLPW,ALIOR BANK SPOLKA AKCYJNA,"LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232",WARSZAWA,PL,POLAND,1
ANIBAWA1XXX,ANIBAWA1,AIB BANK NV,WILHELMINASTRAAT 36  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST,ORANJESTAD,AW,ARUBA,1
ANTLUYM1XXX,ANTLUYM1,ANTEL,"GUATEMALA 1075  MONTEVIDEO, MONTEVIDEO, 11800",MONTEVIDEO,UY,URUGUAY,1
APSBMTMTXXX,APSBMTMT,APS BANK PLC.,"APS CENTRE TOWER STREET BIRKIRKARA, BIRKIRKARA, BKR 4012",BIRKIRKARA,MT,MALTA,1
ARUBAWAXXXX,ARUBAWAX,"ARUBA BANK, LTD",CAMACURI 12  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST,ORANJESTAD,AW,ARUBA,1
ATISMTM1XXX,ATISMTM1,JESMOND MIZZI FINANCIAL ADVISORS LIMITED,"ABATE RIGORD STREET  TA'XBIEX, TA'XBIEX, XBX 1120",TA'XBIEX,MT,MALTA,1
AVJCBGS1XXX,AVJCBGS1,AVAL IN JSC,"TODOR ALEKSANDROV BLVD 73 FLOOR 1 SOFIA, SOFIA, 1303",SOFIA,BG,BULGARIA,1
BAERMCMCXXX,BAERMCMC,BANK JULIUS BAER (MONACO) S.A.M.,"12 BOULEVARD DES MOULINS  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BAPDBGS1XXX,BAPDBGS1,BALKAN ADVISORY COMPANY-IP EAD,"SQ. POZITANO 9  SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
BARCMCC1XXX,BARCMCC1,BARCLAYS BANK S.A,"31 AVENUE DE LA COSTA  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BARCMCMXXXX,BARCMCMX,BARCLAYS BANK PLC MONACO,"31 AVENUE DE LA COSTA  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BBVAUYMMXXX,BBVAUYMM,BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.,"25 DE MAYO, ESQUINA ZAQBALA 401  MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,UY,URUGUAY,1
BCCSCLR1XXX,BCCSCLR1,BCI CORREDOR DE BOLSA S.A.,,SANTIAGO,CL,CHILE,1
BCECCLRFXXX,BCECCLRF,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,1
BCECCLRMXXX,BCECCLRM,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,1
BCGMMCM1XXX,BCGMMCM1,BNP PARIBAS WEALTH MANAGEMENT MONACO,"27 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BCHICLR10R2,BCHICLR1,BANCO DE CHILE,,VINA DEL MAR,CL,CHILE,
BCHICLR10R3,BCHICLR1,BANCO DE CHILE,"21 DE MAYO 330  ARICA, PROVINCIA DE ARICA, 1000000",ARICA,CL,CHILE,
BCHICLR10R4,BCHICLR1,BANCO DE CHILE,,IQUIQUE,CL,CHILE,
BCHICLR10R5,BCHICLR1,BANCO DE CHILE,,ANTOFAGASTA,CL,CHILE,
BCHICLR10R6,BCHICLR1,BANCO DE CHILE,,LA SERENA,CL,CHILE,
BCHICLR10R7,BCHICLR1,BANCO DE CHILE,,TEMUCO,CL,CHILE,
BCHICLR10R8,BCHICLR1,BANCO DE CHILE,,PUERTO MONTT,CL,CHILE,
BCHICLR10RA,BCHICLR1,BANCO DE CHILE,,PUNTA ARENAS,CL,CHILE,
BCHICLR10RC,BCHICLR1,BANCO DE CHILE,,CONCEPCION,CL,CHILE,
BCHICLR10RV,BCHICLR1,BANCO DE CHILE,,VALPARAISO,CL,CHILE,
BCHICLR10RY,BCHICLR1,BANCO DE CHILE,,COYHAIQUE,CL,CHILE,
BCHICLRMEXP,BCHICLRM,BANCO DE CHILE,,SANTIAGO,CL,CHILE,
BCHICLRMIMP,BCHICLRM,BANCO DE CHILE,,SANTIAGO,CL,CHILE,
BCHICLRMIOB,BCHICLRM,BANCO DE CHILE,,SANTIAGO,CL,CHILE,
BCHICLRMXXX,BCHICLRM,BANCO DE CHILE,,SANTIAGO,CL,CHILE,1
BCOSCLR1XXX,BCOSCLR1,BANCHILE CORREDORES DE BOLSA S.A.,"AGUSTINAS 975, FLOOR 2 CASA MATRIZ BANCO DE CHILE - SANTIAGO PROVINCIA DE SANTIAGO, 8320000",SANTIAGO,CL,CHILE,1
BCRCBGS1XXX,BCRCBGS1,BCRA - CREDIT RATING AGENCY,"EVLOGI GEORGIEV 95 FLOOR 1 SOFIA, SOFIA, 1142",SOFIA,BG,BULGARIA,1
BECHCLRMXXX,BECHCLRM,BANCO DEL ESTADO DE CHILE,,SANTIAGO,CL,CHILE,1
BEDMPLP1XXX,BEDMPLP1,DOM MAKLERSKI BDM S.A.,"STOJALOWSKIEGO 7  BIELSKO BIALA, SLASKIE, 43-300",BIELSKO BIALA,PL,POLAND,1
BELDPLP1XXX,BELDPLP1,BANK SPOLDZIELCZY W BELSKU DUZYM,"UL.NOCZNICKIEGO 3  BELSK DUZY, MAZOWIECKIE, 05-622",BELSK DUZY,PL,POLAND,1
BERLMCMCXXX,BERLMCMC,EDMOND DE ROTHSCHILD-MONACO,"LES TERRASSES, CARLO 2 AVENUE DE MONTE MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BGUSBGSFXXX,BGUSBGSF,BULGARIAN-AMERICAN CREDIT BANK,"SLAVYANSKA STR 2  SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
BHUMUYM1XXX,BHUMUYM1,BANCO HIPOTECARIO DEL URUGUAY,"FERNANDEZ CRESPO 1508  MONTEVIDEO, MONTEVIDEO, 11200",MONTEVIDEO,UY,URUGUAY,1
BICECLRMXXX,BICECLRM,BANCO BICE,,SANTIAGO,CL,CHILE,1
BICHCLRMXXX,BICHCLRM,BANCO INTERNACIONAL,,SANTIAGO,CL,CHILE,1
BIEZPLP1XXX,BIEZPLP1,BANK SPOLDZIELCZY W BIEZUNIU,"ZAMOJSKIEGO 27  BIEZUN, MAZOWIECKIE, 09-320",BIEZUN,PL,POLAND,1
BIGBPLPWCUS,BIGBPLPW,BANK MILLENNIUM S.A.,"HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593",WARSZAWA,PL,POLAND,
BIGBPLPWXXX,BIGBPLPW,BANK MILLENNIUM S.A.,"HARMONY CENTER UL. STANISLAWA ZARYNA 2A WARSZAWA, MAZOWIECKIE, 02-593",WARSZAWA,PL,POLAND,1
BISPPLP1XXX,BISPPLP1,BANK INICJATYW SPOLECZNO-EKONOMICZNYCH S.A.,"DUBOIS STREET 5 A  WARSZAWA, MAZOWIECKIE, 00-184",WARSZAWA,PL,POLAND,1
BJSBMCMXLCO,BJSBMCMX,BANQUE J. SAFRA SARASIN (MONACO) SA,"  MONACO, MONACO, 98000",MONACO,MC,MONACO,
BJSBMCMXXXX,BJSBMCMX,BANQUE J. SAFRA SARASIN (MONACO) SA,"LE BELLE EPOQUE 15BIS/17 AVENUE D'OSTENDE MONACO, MONACO, 98000",MONACO,MC,MONACO,1
BKSACLRM055,BKSACLRM,SCOTIABANK CHILE,,SANTIAGO,CL,CHILE,
BKSACLRM061,BKSACLRM,SCOTIABANK CHILE,,VALPARAISO,CL,CHILE,
BKSACLRM064,BKSACLRM,SCOTIABANK CHILE,"21 DE MAYO 187  ARICA, PROVINCIA DE ARICA, 1000000",ARICA,CL,CHILE,
BKSACLRM068,BKSACLRM,SCOTIABANK CHILE,,CONCEPCION,CL,CHILE,
BKSACLRMXXX,BKSACLRM,SCOTIABANK CHILE,"AVENIDA COSTANERA SUR 2710, FLOOR 10 EDIFICIO PARQUE TITANIUM SANTIAGO, PROVINCIA DE SANTIAGO",SANTIAGO,CL,CHILE,1
BLICCLRMXXX,BLICCLRM,HSBC BANK (CHILE),"AVENIDA ISIDORA GOYENECHEA 2800 FLOOR 23 LAS CONDES - SANTIAGO PROVINCIA DE SANTIAGO, 8320000",SANTIAGO,CL,CHILE,1
